Last Updated At 2026-01-16T18:24:18Z
DATASOURCE (255)                              KIND              HOSTNAME                                                                        PORT OVERRIDE    ROLE
sa-prod-backend-stats-team                    Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           13250            sa-prod-backend-stats-team
sa-prod-bi-team                               Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10100            sa-prod-bi-team
sa-prod-dp-team                               Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10102            sa-prod-dp-team
sa-prod-ds-team                               Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10104            sa-prod-ds-team
sa-prod-ia-team                               Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10108            sa-prod-ia-team
sa-prod-inventory-team                        Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10120            sa-prod-inventory-team
sa-prod-pa-team                               Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10106            sa-prod-pa-team
sa-prod-partnership-team                      Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           13254            sa-prod-partnership-team
sa-prod-partnerships-reader                   Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10117            sa-prod-partnerships-reader
sa-prod-pq-team                               Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10118            sa-prod-pq-team
sa-prod-product-team                          Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10110            sa-prod-product-team
sa-prod-qa-team                               Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10112            sa-prod-qa-team
sa-prod-read-replica-3-backend-stats-team     Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13251            sa-prod-read-replica-3-backend-stats-team
sa-prod-read-replica-3-bi-team                Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13258            sa-prod-read-replica-3-bi-team
sa-prod-read-replica-3-dp-team                Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13252            sa-prod-read-replica-3-dp-team
sa-prod-read-replica-3-ds-team                Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13253            sa-prod-read-replica-3-ds-team
sa-prod-read-replica-3-ia-team                Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13249            sa-prod-read-replica-3-ia-team
sa-prod-read-replica-3-inventory-team         Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13260            sa-prod-read-replica-3-inventory-team
sa-prod-read-replica-3-pa-team                Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13259            sa-prod-read-replica-3-pa-team
sa-prod-read-replica-3-partnership-team       Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13261            sa-prod-read-replica-3-partnership-team
sa-prod-read-replica-3-partnerships-reader    Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            11017            sa-prod-read-replica-3-partnerships-reader
sa-prod-read-replica-3-pq-team                Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13262            sa-prod-read-replica-3-pq-team
sa-prod-read-replica-3-product-team           Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13255            sa-prod-read-replica-3-product-team
sa-prod-read-replica-3-qa-team                Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13263            sa-prod-read-replica-3-qa-team
sa-prod-read-replica-3-solutions-team         Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13264            sa-prod-read-replica-3-solutions-team
sa-prod-read-replica-3-ts-team                Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13265            sa-prod-read-replica-3-ts-team
sa-prod-read-replica-3-web-team               Maria             sa-prod-read-replica-3.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306            13256            sa-prod-read-replica-3-web-team
sa-prod-solutions-team                        Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10114            sa-prod-solutions-team
sa-prod-test-eng-team-full                    Maria             sa-prod-test.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10122            sa-prod-test-eng-team-full
sa-prod-ts-team                               Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           13310            sa-prod-ts-team
sa-prod-web-team                              Maria             sa-prod.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                           10116            sa-prod-web-team
sa-staging-1-bi-team                          Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10230            sa-staging-1-bi-team
sa-staging-1-dp-team                          Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10232            sa-staging-1-dp-team
sa-staging-1-ds-team                          Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10234            sa-staging-1-ds-team
sa-staging-1-inventory-team                   Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10236            sa-staging-1-inventory-team
sa-staging-1-maintain (unhealthy)             Maria             sa-staging.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                        13343            sa-staging-1-maintain
sa-staging-1-pa-team                          Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10238            sa-staging-1-pa-team
sa-staging-1-partnership-team                 Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      13240            sa-staging-1-partnership-team
sa-staging-1-pq-team                          Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10242            sa-staging-1-pq-team
sa-staging-1-product-team                     Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10244            sa-staging-1-product-team
sa-staging-1-qa-team                          Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10246            sa-staging-1-qa-team
sa-staging-1-solutions-team                   Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      10248            sa-staging-1-solutions-team
sa-staging-1-ts-team                          Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      13340            sa-staging-1-ts-team
sa-staging-1-web-team                         Maria             sa-staging-1.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                      13342            sa-staging-1-web-team
sa-staging-bi-team                            Maria             sa-staging.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                        10200            sa-staging-bi-team
sa-staging-dp-team                            Maria             sa-staging.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                        10202            sa-staging-dp-team
sa-staging-ds-team                            Maria             sa-staging.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                        10204            sa-staging-ds-team
sa-staging-inventory-team                     Maria             sa-staging.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                        10220            sa-staging-inventory-team
sa-staging-maintain                           Maria             sa-staging.cs7b27o2gcz7.us-east-1.rds.amazonaws.com:3306                        10217            sa-staging-maintain
